TEMA,SUBTEMA,SUBCATEGORIA,PREGUNTA,RESPUESTA
Algebra ,Fundamentos de algebra,Evaluar Expresiones con multiples variables,Evalúa 8r - rs considerando que r=6 y s=5,18
Algebra ,Fundamentos de algebra,Evaluar Expresiones con multiples variables,Evalua 0.1m + 8 - 12n cuando  m=30 y n=1/4,8
Algebra ,Fundamentos de algebra,Evaluar expresiones con múltiples variables: fracciones y decimales ,Evalua 8j - k + 14 considerando que j=0.25 y k=1,15
Algebra ,Fundamentos de algebra,Evaluar expresiones con múltiples variables: fracciones y decimales ,Evalua 7j + 5 - 8k considerando que j=0.5 y k=0.25,6.5
Algebra ,Fundamentos de algebra,Evaluar expresiones con múltiples variables: fracciones y decimales ,Evalua 5c + considerando que c=1/5 y d=15 ,4
Algebra ,Fundamentos de algebra,Evaluar expresiones con múltiples variables: fracciones y decimales ,Evalua 1/4c + 3d considerando que c=6 y d=7,22.5
Algebra ,Fundamentos de algebra,Evaluar expresiones con múltiples variables: fracciones y decimales ,Evalua 4 - 0.25g + 0.5h considerando que g=10 y h=5,4
Algebra ,Resolver ecuaciones y desigualdades ,Ecuaciones con variables en ambos lados ,Despeja e cuando 9e + 4 = -5e + 14 + 13e,10
Algebra ,Resolver ecuaciones y desigualdades ,Ecuaciones con variables en ambos lados ,Despeja d cuando 2d + 4 = 10 + 5d,-2
Algebra ,Resolver ecuaciones y desigualdades ,Ecuaciones con variables en ambos lados ,Despeja k cuando 20 - 6 + 4k = 2 - 2k,-2
Algebra ,Resolver ecuaciones y desigualdades ,Ecuaciones con variables en ambos lados ,Despeja c cuando 12c - 4 = 14c - 10,3
Algebra ,Resolver ecuaciones y desigualdades ,Ecuaciones con variables en ambos lados ,Despeja m cuando  -7 + 4m + 10 = 15 - 2m,2
Algebra ,Resolver ecuaciones y desigualdades ,Ecuaciones con paréntesis ,Despeja r cuando 4r -3 = 3 (3r + 4),-3
Algebra ,Resolver ecuaciones y desigualdades ,Ecuaciones con paréntesis ,Despeja h cuando 7h = -2 (2h - 18),2
Algebra ,Resolver ecuaciones y desigualdades ,Ecuaciones con paréntesis ,Despeja g cuando  9g = 3( -4 + 5g),2
Algebra ,Resolver ecuaciones y desigualdades ,Ecuaciones con paréntesis ,Despeja f cuando 3(6 - f) - 4 = 3f - 4,3
Algebra ,Resolver ecuaciones y desigualdades ,Ecuaciones con paréntesis ,Despeja p cuando 10p - 3 = 2(12 + 4p) - 7,10
Algebra ,Resolver ecuaciones y desigualdades ,Ecuaciones con paréntesis: decimales y fracciones ,Despeja f cuando  4(0.5f − 0.25) = 6 + f,7
Algebra ,Resolver ecuaciones y desigualdades ,Ecuaciones con paréntesis: decimales y fracciones ,Despeja d cuando 0.5(7d + 4) = 7 − 1.5d,1
Algebra ,Resolver ecuaciones y desigualdades ,Ecuaciones con paréntesis: decimales y fracciones ,"Despeja f cuando 9f = 1/2 * (12f - 2) ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",-1/3
Algebra ,Resolver ecuaciones y desigualdades ,Ecuaciones con paréntesis: decimales y fracciones ,"Despeja a cuando 3 + 0.5(4a + 8) = 9 − 2a ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",1/2
Algebra ,Resolver ecuaciones y desigualdades ,Ecuaciones con paréntesis: decimales y fracciones ,Despeja 1/2r - 3 = 3(4 - 3/2r),3
Algebra ,Trabajar con unidades,Tasa de conversión,"El automóvil de Lily tiene una eficiencia de combustible de 8 litros por 100 kilómetros.
¿Cuál es la eficiencia del combustible del automóvil de Lily en kilómetros por litro?",12.5
Algebra ,Trabajar con unidades,Tasa de conversión,El brazo de un lanzador gira a una velocidad de 7 grados por milisegundo.  ¿A qué velocidad gira el brazo del lanzador en grados/segundos?,7000
Algebra ,Trabajar con unidades,Tasa de conversión,"Riya está poniendo abono en su jardín. Lo pone a una tasa de 250,000^3de espacio de jardín. ¿A qué tasa Riya pone abono en m(cubicos)/m(cuadrados)?",0.25
Algebra ,Trabajar con unidades,Tasa de conversión,Una onda de sonido viaja a traves del hierro a una tasa de 5120m/s. ¿A qué tasa viaja la onda de sonido en km/h?,18432
Algebra ,Trabajar con unidades,Tasa de conversión,Buan rema en un equipo de canotaje. Su equipo remó a una tasa de 2min/500metros. ¿Cual es la tasa a la que rema el equipo de Bulan en m/min?,250
Algebra ,Trabajar con unidades,Conversión: Tasa de conversión,La presión del agua sobre Mustafa mientras este se sumerge está aumentando a una tasa de 0.992 atmósferas (atm) por metro (m). ¿Cuál es la tasa del aumento en la presión del agua en atm/km?,992
Algebra ,Trabajar con unidades,Conversión: Tasa de conversión,Una lámina de vidrio tiene una densidad de 2.5 g/cm^3. ¿Cuál es la densidad del vidrio en kg/m^3?,2500
Algebra ,Trabajar con unidades,Conversión: Tasa de conversión,Uche bombea gasolina a una tasa de 18 1/min. ¿Cual es la tasa a la que Uche bombea en ml/s?,300
Algebra ,Trabajar con unidades,Conversión: Tasa de conversión,"En 2016, la ciudad de Río de Janeiro tenía una densidad de población de 5377 personas/km^2. ¿Cuál era la densidad de población de Río de Janeiro en personas por metro cuadrado? Utiliza 3 puntos decimales para este inciso",0.005
Algebra ,Trabajar con unidades,Conversión: Tasa de conversión,La tasa de gluten en cierto alimento es 13 mg de gluten por 1 de alimento. ¿Cuál es la tasa de gluten en microgramos por mililitro (hg/ml)? ,13
Algebra ,Trabajar con unidades,Usar unidades para resolver problemas ,"Dagogo sube 3 videos en su canal cada mes. Cada video dura un promedio de 15 minutos y obtiene un promedio de 150,000 nuevas vistas. La tasa promedio de ""me gusta"" a vistas en los videos de Dagogo es 1:5. Dagogo quiere alcanzar un total de 9,000,000 de vistas en su canal. Suponiendo que estas tasas continúan, ¿cuántos ""me gusta"" obtendrá Dagogo, en promedio, por cada minuto de video que suba?",2000
Algebra ,Trabajar con unidades,Usar unidades para resolver problemas ,"Lennox tiene una plantación de manzanos. Ella transporta sus manzanas a varios mercados utilizando una flota de camiones. Cada semana, cada camión realiza 3 viajes, y por cada viaje Lennox obtiene 300 dólares. En un solo viaje, un camión entrega 50 paquetes, y cada paquete contiene 12 kilogramos de manzanas. En general, Lennox vende 4500 dólares de manzanas en una semaa. ¿Cuántos camiones hay en la flota de Lennox? ",5
Algebra ,Trabajar con unidades,Usar unidades para resolver problemas ,"Roselyn está manejando para ir a visitar a su familia, que vive a 150 kilómetros. Su rapidez promedio es de 60 kilometros por hora. El tanque del automovil tiene 20 litros de combustible al inicio del viaje, y su eficiencia de combustible es de 6 kilometros por litro. El combustible cuesta 0.60 dolares por litro. ¿Cuánto tiempo puede viajar Roselyn antes de quedarse sin combustible?",2
Algebra ,Trabajar con unidades,Usar unidades para resolver problemas ,"David está preparando arroz para sus invitados con base en una receta que lleva arroz, agua y una mezcla especial de especias, donde la proporción de arroz a especias es 15:1. Tiene 40 gramos de la mezcla de especias, y puede ir a comprar mas si es necesario. Quiere hacer 10 porciones, donde cada porción lleva 75 gramos de arroz. En total, David gasta 4.50 dólares en arroz. ",8
Algebra ,Trabajar con unidades,Usar unidades para resolver problemas ,"En la casa de la familia de Trevor viven 6 personas (incluyendo a Trevor) y hay 3 baños. EN el último mes, cada persona se baño durante un promedio de 480 minutos y utilizó un promedio de 72 litros de agua al bañarse (en todo el mes). El agua cuesta 0.20 dólares por litro. ¿Cuánto pagó la familia de Trevor por minuto en agua al bañarse? ",0.03
Trigonometría,Triangulos no rectángulos y trigonometría ,Resuelve triángulos con la ley de los senos ,"Se nos otorga una figura triangular, en donde debemos calcular el angulo de una de sus esquinas. SI consideramos que debemos calcular el angulo de C, sabiendo que la hipotenusa equivale a 18, que uno de sus catetos adyacentes vale 7, y el angulo que se nos otorga es 68°, y por defecto el otro equivale 90°; calcula el angulo faltante ",21
Trigonometría,Triangulos no rectángulos y trigonometría ,Resuelve triángulos con la ley de los senos ,"Se nos otorga una figura triangular, en donde debemos calcular la longitud del cateto BC.  Si sabemos que uno de sus angulos mide 67°, otro mide 80° y la hipotenusa (Tramo AC) vale 20, ¿cuánto medirá el tramo BC?",18.7
Trigonometría,Triangulos no rectángulos y trigonometría ,Resuelve triángulos con la ley de los senos ,"Se nos otorga una figura triangular, en donde debemos calcular el angulo de A, la cual cuenta como hipotenusa 12, y cateto opuesto 16, asi como otro angulo de 40°. ¿Cuál es el angulo de A?",121
Trigonometría,Triangulos no rectángulos y trigonometría ,Resuelve triángulos con la ley de los senos ,"Se nos otorga una figura triangular, en donde nos piden calcular la longitud del cateto AB, el cual cuenta con 2 angulos, 65° y 81°, asi como un como uno de sus catetos, el cual mide 10. Considera que AB es la hipotenusa. ¿Cuál es la longitud de dicho angulo?",17.7
Trigonometría,Triangulos no rectángulos y trigonometría ,Resuelve triángulos con la ley de los senos ,"Se nos otorga una figura triangular, en la cuál se sabe que la hipotenusa mide 26, uno de los catetos mide 20, y el angulo opuesto al cateto mide 48°. Nos solicitan el angulo que se encuentra de frente a la hipotenusa. ¿Cuál es la medida de dicho ángulo?",75
Trigonometría,Triangulos no rectángulos y trigonometría ,Resuelve triángulos con la ley de los cosenos ,"Se nos otorga una figura triangular en la que nos dan la medida de los 3 catetos, siendo 7 el adyacente, 8 el opuesto, y 13 la hipotenusa. Calcula el valor del angulo C",32
Trigonometría,Triangulos no rectángulos y trigonometría ,Resuelve triángulos con la ley de los cosenos ,"Se nos otorga una figura triangular en la que nos dan la medida de ambos catetos, siendo 12 uno, y 15 el otro, asi como la medida de un angulo, 83°. Porfavor calcula el cateto opuesto del angulo, la hipotenusa",18
Trigonometría,Triangulos no rectángulos y trigonometría ,Resuelve triángulos con la ley de los cosenos ,"Se nos otorga una figura triangular en la que nos dan los valores de los 3 catetos, siendo 6 el cateto adyacente, 13 el cateto opuesto y 15 la hipotenusa. Porfavor calcula el valor del angulo",59
Trigonometría,Triangulos no rectángulos y trigonometría ,Resuelve triángulos con la ley de los cosenos ,"Se nos otorga una figura triangular en la que nos dan los valores de la hipotenusa, 13, y el cateto adyacente, 6, asi como del angulo, 91°, y se nos pide el valor de la hipotenusa. Pofavor calcule e ingrese el valor de dicho cateto.",14.4
Trigonometría,Triangulos no rectángulos y trigonometría ,Resuelve triángulos con la ley de los cosenos ,"Se nos otorga una figura triangular en la que nos dan los valores de los tres catetos, contando con el cateto adyacente con un valor de 8, el caateto opuesto con un valor de 14, y la hipotenusa con un valor de 15. Porfavor ingrese el valor del angulo. ",67
Trigonometría,Triangulos no rectángulos y trigonometría ,Problemas verbales sobre triangulos ,"El mapa del tesoro de Peter dice que el tesoro está a 673 pasos de Pinnacle Point y a 861 pasos de Skeleton Cove, como se muestra. Pinnacle Point y Skeleton Cove están a 989 pasos de distancia.Si Peter está en Pinnacle Point y frente a Skeleton Cove, ¿cuántos grados debe girar antes de caminar 673 pasos hasta el tesoro?
No redondees durante tus cálculos. Redondea tu respuesta final al grado más cercano.",59
Trigonometría,Triangulos no rectángulos y trigonometría ,Problemas verbales sobre triangulos ,"El radar de Lara en su submarino detecta otros dos submarinos cercanos, como se muestra a continuación. El primer submarino está a 360m, el segundo submarino esta a 250m, y el angulo entre ellos es de 34°. ¿Cuál es la distancia entre los otros dos submarinos?",207
Trigonometría,Triangulos no rectángulos y trigonometría ,Problemas verbales sobre triangulos ,"Puma Grove, la primera golfista mujer de la historia, está a dos tiros de ganar otro torneo.
Desde un marcador que está a 200 metros del pin, el ángulo entre el pin y la pelota es de 110°, degree, como se muestra.
Desde la pelota, Puma revisa el ángulo entre el marcador y el pin, hace los cálculos y luego hace el swing. Su pelota recorre 234 metros en forma directa hacia el pin. 
¿Cuál era la medida del ángulo entre el marcador y el pin?
No redondees durante tus cálculos. Redondea tu respuesta final al grado más cercano.",53
Trigonometría,Triangulos no rectángulos y trigonometría ,Problemas verbales sobre triangulos ,"Amit construyó dos catapultas para bolas de nieve. Las catapultas están a una distancia de 14.5m entre sí, como se muestra. Desde la catapulta A, hay un ángulo de 96° entre la catapulta B y el objetivo. Desde la catapulta B, hay un ángulo de 58° entre la catapulta A y el objetivo. ¿Qué distancia se debe lanzar la bola de nieve con la catapulta B para que llegue al objetivo?
No redondees durante tus cálculos. Redondea tu respuesta final a la décima de metro más cercana.",32.9
Trigonometría,Triangulos no rectángulos y trigonometría ,Problemas verbales sobre triangulos ,"Un robot se desplaza 3m, gira más de 90°, degree en el sentido de las manecillas del reloj, se desplaza 4m más, gira en el sentido de las manecillas del reloj de nuevo y luego se desplaza 6m. El robot termina donde comenzó, como se muestra.¿Cuánto giró el robot la primera vez?
No redondees durante tus cálculos. Redondea tu respuesta final al grado más cercano.",120
Trigonometría,Funciones trigonometricas ,Radianes y grados ,"Convierte el angulo 310° a radianes ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",31pi/18
Trigonometría,Funciones trigonometricas ,Radianes y grados ,Convierte el angulo 17pi/18 de radianes a grados,170
Trigonometría,Funciones trigonometricas ,Radianes y grados ,"Convierte el angulo 100° a radianes ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",5pi/9
Trigonometría,Funciones trigonometricas ,Radianes y grados ,Convierte el angulo 257pi/360 de radianes a grados ,128.5
Trigonometría,Funciones trigonometricas ,Radianes y grados ,"Convierte el angulo 230° a radianes ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",23pi/18
Trigonometría,Funciones trigonometricas ,Usa la identidad pitagorica ,"El angulo teta esta en el cuadrante 3, y seno de teta = -√3 / 2. Calcula el valor de coseno de teta ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",-1/2
Trigonometría,Funciones trigonometricas ,Usa la identidad pitagorica ,"El angulo teta esta en el cuadrante 1, y coseno de teta = 3/8. Calcula el valor de seno de teta. ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",sqrt(55/8)
Trigonometría,Funciones trigonometricas ,Usa la identidad pitagorica ,"El angulo de teta se localiza en el cuadrante 4, y coseno de teta = 3/5. Calcula el seno de teta ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",-4/5
Trigonometría,Funciones trigonometricas ,Usa la identidad pitagorica ,"El angulo de teta está en el cuadrante 2, y seno de teta = 1/4. Calcula el coseno de teta ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",-sqrt(15/4)
Trigonometría,Funciones trigonometricas ,Usa la identidad pitagorica ,"El angulo de teta esta en el cuadrante 3, y coseno de teta = -5/8. Calcula el seno de teta.  ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",-sqrt(39/8)
Trigonometría,Funciones trigonometricas ,Valores trigonometricos de angulos especiales ,"Calcula el coseno de 150° ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",-sqrt(3/2)
Trigonometría,Funciones trigonometricas ,Valores trigonometricos de angulos especiales ,"Calcula el seno de 150° ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",1/2
Trigonometría,Funciones trigonometricas ,Valores trigonometricos de angulos especiales ,"Calcula el coseno de 315° ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",sqrt(2/2)
Trigonometría,Funciones trigonometricas ,Valores trigonometricos de angulos especiales ,"Calcula el seno de 315° ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",-sqrt(2/2)
Trigonometría,Funciones trigonometricas ,Valores trigonometricos de angulos especiales ,"Calcula el seno de (4pi/3) ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",-sqrt(3/2)
Trigonometría,Identidades y ecuaciones trigonometricas,Evalua Funciones trigonometricas inversas ,¿Cual es el valor principal de tan^-1(-21)?,-1.52
Trigonometría,Identidades y ecuaciones trigonometricas,Evalua Funciones trigonometricas inversas ,¿Cuál es el valor principal de cos^-1(0.69)?,46.4
Trigonometría,Identidades y ecuaciones trigonometricas,Evalua Funciones trigonometricas inversas ,¿Cuál es el valor principal de arcsin(0.36)?,21.1
Trigonometría,Identidades y ecuaciones trigonometricas,Evalua Funciones trigonometricas inversas ,¿Cuál es el valor principal de tan^-1(-44)?,-88.7
Trigonometría,Identidades y ecuaciones trigonometricas,Evalua Funciones trigonometricas inversas ,¿Cuál es el valor principal de sin^-1(0.43)?,0.44
Trigonometría,Identidades y ecuaciones trigonometricas,Problemas verbales de modelos sinusoidales,"Hambriento Harry es un ogro gigante con un apetito que varía a lo largo del día. H(t) modela el peso (en kg) de un cordero que Harry quiere devorar ttt horas después de despertar. Aquí t se ingresa en radianes.H(t)= 12sin(2pi/24)t + 15. ¿Cual es la segunda vez, desde que Harry despierta, que quiere comer 17kg de cordero?",11.4
Trigonometría,Identidades y ecuaciones trigonometricas,Problemas verbales de modelos sinusoidales,"Un camion de helados con musica muy ruidosa da vueltas por el vecindario de Bulan. C(t) modela el volumen de la musica en dB que Bulan oye, t minutos despues que el camion llega al vecindario. Aqui t se ingresa en radianes. C(t)= -15cos(2pi/15)t+65. ¿Cuantos minutos despues de que llega el camion el volumen alcanza 75dB por primera vez? Redondea tu respuesta final a la decima de minuto mas cercana ",5.5
Trigonometría,Identidades y ecuaciones trigonometricas,Problemas verbales de modelos sinusoidales,"T(t) modela la temperatura máxima diaria (C°) en Santiago de Chile, t días después del día más caluroso del año. Aquí t se ingresa en radianes. T(t)= 7.5cos(2pi/365)t + 21.5. ¿Cualo es la segunda vez, despues del dia mas caluroso del año, que la temperatura maxima diaria alcanza 20°C.",262
Trigonometría,Identidades y ecuaciones trigonometricas,Problemas verbales de modelos sinusoidales,"M(t) modela la distancia (en millones km) de Marte al Sol, t días después de estar en su posición más lejana. Aquí t se ingresa en radianes. M(t)=21cos(2pi/687)t+228. ¿Cuántos dias despues Marte llega por primera vez a 220 millones de km del Sol? Redondea tu respuesta final al dia completo mas cercano",214
Trigonometría,Identidades y ecuaciones trigonometricas,Problemas verbales de modelos sinusoidales,"Lena toca su acordeón al comprimirlo y estirarlo. La longitud del acordeón (en cm), t segundos después desde que está completamente estirado, se modela con A(t). Aquí t se ingresa en radianes. A(t)= 25cos(pi*t)+65. ¿Cuanto tiempo le toma a Lena comprimir el acordeón completamente y estirarlo a una longitud de 50cm? Redondea tu respuesta final a la decima de segundo mas cercana. 
A(t) = {25}\cos\left(\pi t\right) + 65",1.3
Trigonometría,Identidades y ecuaciones trigonometricas,Cuestionario 1,¿Cual es el valor principal de arcos(-0.65)?,2.28
Trigonometría,Identidades y ecuaciones trigonometricas,Cuestionario 1,"W(t),modela el nivel diario de agua (en cm) en un estanque de Arizona, t días después del día más caluroso del año. Aquí t se ingresa en radianes. W(t)=15cos(2pi/365)t+43. ¿Cuál es la primera vez, después del día más caluroso del año, que el nivel del agua es 30cm?
Redondea tu respuesta final al día completo más cercano.",152
Trigonometría,Identidades y ecuaciones trigonometricas,Cuestionario 1,¿Cual es el valor principal de tan-1(-1.4)?,-0.95
Trigonometría,Identidades y ecuaciones trigonometricas,Cuestionario 1,"E(t), modela la cantidad diaria de energía (en kilojoules,kJ) que genera un panel solar en Pago Pago t días después del equinoccio de otoño. Aquí t se ingresa en radianes. E(t)=624sin(2pi/365)t + 8736. ¿Cuál es el primer dia, despues del equinoccio de otoño, en el que el panel genera 8400kJ? Redondea tu respuesta final al día completo mas cercano. ",216
Trigonometría,Identidades y ecuaciones trigonometricas,Cuestionario 1,¿Cuál es el valor principal de arccos (-1)?,180
Geometría,Semejanza,Introducción a ecuaciones racionales,"Despeja q cuando 10/(2q+8)=10 ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",-7/2
Geometría,Semejanza,Introducción a ecuaciones racionales,"Despeja r cuando (4r-6)/(r-7) = 1/2 ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",5/7
Geometría,Semejanza,Introducción a ecuaciones racionales,"Despeja r cuando (4r)/(5r+6) = 1/6 ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",6/19
Geometría,Semejanza,Introducción a ecuaciones racionales,Despeja r cuadno (-8)/(r+6) = 4,-8
Geometría,Semejanza,Introducción a ecuaciones racionales,"Despeja x cuando (5x-5)/(x-2) = 1/3 ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",13/14
Geometría,Semejanza,Introducción a ecuaciones racionales,"Despeja k cuadno (5k-2)/3k = 7 ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",-1/8
Geometría,Semejanza,Introducción a ecuaciones racionales,"Despeja k cuando 3/2k = 5 ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",3/10
Geometría,Semejanza,Introducción a ecuaciones racionales,"Despeja y cuando (y-1)/(3y+7) = 1/10 ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",17/7
Geometría,Semejanza,Introducción a ecuaciones racionales,"Despeja t cuando (t+9)/(t+4) = 5 ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",-11/4
Geometría,Semejanza,Introducción a ecuaciones racionales,Despeja n cuando (4n-2)/(2n) = 7,-0.2
Geometría,Semejanza,Introducción a ecuaciones racionales,Despeja q cuando (10)/(2q+8) = 1/10,46
